attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,event
21,87,14670,18830,35749,10707,6953,6334,2872,926,L
29,78,23775,19762,4244,16741,12485,4933,3858,1120,L
27,74,51160,13986,23157,1400,12528,5236,2297,1368,L
20,64,28980,16495,9549,15322,5251,6167,2707,1276,L
14,70,77443,26345,11089,37794,9145,6638,2550,1315,L
23,78,18715,8880,21920,12132,1356,4697,3823,2011,L
34,77,21388,9278,9526,11459,6215,10800,3008,1270,L
44,70,42155,10748,6117,11631,8346,6304,2796,1490,L
50,83,863,5931,2082,18806,5234,6648,2671,740,L
56,56,7553,32965,4755,5156,10339,8109,1512,1452,L
40,64,41123,10900,11343,26080,4376,4380,1335,1395,L
34,60,27049,34592,6708,9309,3268,6957,2256,1328,L
24,63,6848,9932,14206,21682,7324,4878,1615,1286,L
27,70,46564,20933,10419,6553,11850,11000,1805,789,L
48,57,5122,13033,7452,11497,2275,15474,6489,1546,L
41,69,25783,21146,3280,39939,9402,4909,2691,771,L
47,69,64506,5054,8102,13981,5084,4106,2760,2109,L
60,70,12536,1911,8385,1755,8559,9660,1170,2733,L
40,83,3506,14550,16618,35328,5856,6513,2012,1167,L
51,81,8882,12913,7837,21868,7091,7892,4420,1408,L
61,77,1717,4327,4024,16347,8078,9636,977,2561,L
51,83,13668,2269,1875,14801,7518,7605,5164,2159,L
66,75,9263,12636,2806,22950,7204,12264,2883,2197,L
66,70,23572,13830,8027,9688,4071,6598,2417,743,L
48,69,2695,24963,21036,8688,5608,5053,3958,914,L
35,78,20725,7246,21398,15664,5364,5583,2642,1553,L
21,75,8928,32491,7933,15591,7159,5271,3667,456,L
7,80,5090,31313,37489,17021,6825,4929,4165,966,L
4,83,41649,28495,21905,23032,7167,5229,6060,1111,L
4,70,9805,20622,17551,16665,21818,6790,2624,2143,L
7,80,4257,15461,13428,18373,5878,5080,2451,850,L
21,74,9083,18019,5491,15491,6907,7447,2632,2350,L
41,75,87165,5181,21453,21204,7906,19472,2254,4811,L
47,78,8378,17706,7466,27172,7181,9469,2737,1548,L
44,84,18420,11938,11027,55191,8736,6893,2497,2757,L
29,94,12099,12375,19763,13068,7625,2373,4002,1851,L
11,88,12426,19631,6374,13593,5509,3655,3546,1355,L
17,66,15520,7875,2433,9480,11119,3818,1384,1646,L
41,61,9206,3505,3981,13684,4769,7877,6762,1515,L
51,67,15588,23501,39000,20276,10230,18396,3751,3514,L
57,70,9182,12753,5796,21791,8020,10657,3876,2240,L
61,77,18409,8861,4737,15661,8791,8169,2540,584,L
40,74,12385,27201,13303,15373,5684,3369,3248,1797,L
44,67,26918,19749,3100,24135,4321,15087,4368,1574,L
30,57,27415,36800,1757,13959,6308,4179,2639,854,L
20,63,3959,5922,17350,6770,11145,2934,2224,1492,L
35,66,29890,7330,10267,10026,3647,5848,6464,2894,L
20,78,14842,14220,9911,46830,7582,6854,4450,1954,L
34,77,38421,35925,655,18138,9795,15087,2753,1868,L
37,80,8347,8219,7429,22879,5514,5486,3293,909,L
20,80,55009,21528,19372,23167,7788,3573,7024,2202,L
27,57,17420,39050,9571,6399,9290,9439,3891,1320,L
26,61,30466,15414,5778,16215,7789,14876,3669,708,L
43,66,24627,8260,5762,11141,9635,10292,2948,941,L
48,64,7935,16341,5761,23139,7725,6057,1718,1508,L
43,64,4779,26856,2031,25840,10362,13609,3870,2508,L
47,63,100494,44912,11526,30935,8002,10458,5348,2099,L
23,81,4390,26856,7023,19576,7141,13619,2809,916,R
26,81,15035,4218,9764,31347,15113,4209,3683,1323,R
21,69,24336,16888,2924,20680,2542,2555,1558,939,R
20,83,4143,17158,8683,27314,3667,4389,1748,477,R
17,74,97356,21412,1467,5368,6223,6565,4700,1233,R
20,57,66550,46495,21752,9807,7206,9181,4237,870,R
30,48,3359,26274,4941,12770,4225,9481,3998,2019,R
43,43,39948,12407,9362,17266,6306,13121,6416,3525,R
37,66,11775,8410,5150,13594,7528,2790,1979,1183,R
40,74,3904,7964,5315,10806,1260,7584,4153,1460,R
37,69,12868,10742,9540,4718,5673,6113,4081,2551,R
37,66,29905,16682,13655,4168,7440,4840,3781,1527,R
37,67,5462,20840,27574,14772,6884,6516,1372,1259,R
30,64,8539,27970,2917,25442,7703,9054,3515,1475,R
26,64,23885,31663,10919,16664,6830,8851,4312,2023,R
24,70,18469,24573,28647,9824,2803,7510,2217,1487,R
27,57,9478,42879,4456,20741,11770,9330,3489,1568,R
29,57,27575,21207,1333,20559,5224,7865,2815,1214,R
20,50,110247,97421,2665,29109,13272,5886,2691,2361,R
21,38,7363,16065,5464,5939,8919,3762,971,2169,R
23,43,45005,8609,7196,7513,11459,4521,2226,560,R
29,41,11502,13426,633,18816,7165,13692,3640,1586,R
43,61,23288,6441,6791,6609,2522,2909,2172,1168,R
41,63,9463,9800,2162,20014,15584,4830,4100,602,R
7,84,16475,54048,29649,15797,6430,2495,1952,2121,R
1,75,104497,25309,10767,6250,11088,2996,2738,1468,R
20,64,5439,15672,10366,26219,5085,5453,3705,2141,R
24,67,15511,34409,22003,5512,4894,8948,1229,2218,R
21,70,92249,30728,10989,24525,6162,6183,6456,1903,R
20,69,54392,20396,3533,18512,9826,4673,1329,971,R
24,56,22395,40864,4314,22955,5578,14286,3311,1775,R
29,60,42180,14655,8730,26878,14815,12584,2570,1352,R
29,69,10914,12772,26112,18530,2916,5112,2544,1083,R
17,64,69085,154286,20637,39679,7241,6718,3321,1746,R
14,66,41404,25546,8806,14685,7704,5542,3624,787,R
14,47,2664,43511,7691,10631,8288,6913,2381,1271,R
29,60,3915,7281,8773,17061,6925,6784,2026,1030,R
34,64,53095,15718,10874,16578,9117,7040,2304,630,R
38,64,1788,5009,7798,14670,10167,8853,2913,1318,R
44,77,33473,10717,7113,24684,13404,9912,1863,1443,R
35,81,30444,16721,26320,26825,5785,4471,2548,1694,R
26,81,20439,47065,7916,42832,7934,6251,6013,1129,R
11,100,36943,6772,10337,22224,7130,5231,1113,592,R
21,100,10991,4519,11955,14970,4945,5900,6351,891,R
44,66,6601,7470,1474,2757,6891,3819,1583,982,R
43,61,52350,21788,20632,12528,4846,6925,2755,718,R
43,54,8128,13390,4446,17682,5005,5935,1402,685,R
43,56,33096,10092,6808,5463,5264,6119,2629,747,R
41,77,54175,7142,23847,20964,6991,12405,4973,3237,R
44,64,11557,20448,10709,3556,13182,6113,2789,1214,R
43,74,29778,9851,47994,16401,15289,10752,2245,1821,R
44,69,37725,18397,1597,13048,5559,13137,2469,910,R
40,57,6966,16672,3230,18437,10320,5006,3705,1363,R
37,61,26367,22401,1384,16832,10693,4340,4616,1907,R
38,53,20000,13627,9331,16050,6552,6664,1489,1032,R
34,57,19076,23799,11224,13171,8104,8334,3790,1339,R
20,63,30090,50635,49786,11778,9631,3523,1907,1855,R
24,69,105642,15778,4706,19626,5328,7539,3435,2406,R
30,66,26783,7455,9421,12339,12102,12176,8355,1646,R
27,78,14083,9973,15999,28008,6568,7115,4679,1199,R
48,57,32103,22625,7440,19380,5948,15952,3158,1053,R
40,63,27347,27284,25661,21165,6204,11794,1789,1014,R
20,80,19521,46103,19661,25731,11134,3669,4114,1091,R
1,96,6132,9660,23365,32802,6350,2774,1420,1517,R
1,97,13124,20930,35699,7659,5399,7194,3779,728,R
16,91,3286,19160,11081,6324,3949,3211,1618,538,R
26,81,12416,15189,19875,9532,9043,4173,2651,1466,R
30,75,22859,15410,10502,17857,16038,9106,2353,1304,R
17,60,3291,55167,7294,13789,4417,4258,1969,1521,R
27,51,16467,27495,11560,4579,7309,10959,1002,2122,R
29,57,14004,11805,6649,40467,6283,6866,2316,1206,R
21,63,23016,12589,4744,17992,5672,3409,2350,540,R
35,67,48595,7945,3813,7166,9289,4242,1248,717,R
30,69,25484,35043,10416,9141,3806,9331,1336,1224,R
29,60,23129,12565,17279,2408,5412,2443,1946,1081,R
21,54,22689,24982,4619,3785,8870,2229,2036,1410,R
14,34,10229,103519,2398,3903,7152,7009,3003,1393,R
4,34,28133,32491,11088,28823,15634,6161,3489,1538,R
17,23,73289,15796,178,12455,12105,9016,2720,1474,R
30,35,16088,21738,13224,12319,7991,11175,2921,848,R
40,54,467153,72365,21464,11515,3317,16647,3426,746,R
29,35,15165,24579,20850,7261,3613,5206,3352,1123,U
10,44,610637,217044,20157,60641,24241,10979,4392,4570,U
34,60,1458607,456105,26043,135780,117819,58117,9270,7192,U
30,50,478197,34445,2762,5942,7473,1986,1120,618,U
20,53,221684,43269,17792,32836,7650,4772,1542,2361,U
14,53,1381843,824429,235986,76440,78750,16435,8011,5242,U
1,51,492267,168143,25608,8912,4386,4725,3833,3204,U
13,61,290596,22988,11811,4520,7762,4130,2498,631,U
20,56,42242,58523,22392,19519,8551,6150,1879,1884,U
61,54,24460,11006,2299,6406,12699,6028,4349,2638,U
84,66,91540,29077,14131,24722,37382,9798,5468,7510,U
74,61,1143168,486840,44221,124183,28880,29194,5371,2853,U
74,57,1751329,185355,54341,66647,32291,19967,7613,3994,U
48,75,325741,169839,114694,87015,18893,19998,9872,4912,U
43,90,41698,35141,68092,11528,10445,10552,2801,4686,U
60,69,43130,104446,8173,4606,2748,8397,4580,1782,U
60,74,27888,20259,19492,19337,8615,3080,4022,2331,U
61,64,25243,19148,25535,14797,22875,6617,2362,2745,U
56,60,22032,42960,7593,5738,11177,5327,8491,1656,U
61,90,92804,7669,6329,31768,33284,4618,3611,2640,U
74,75,401112,40068,9838,16346,9201,8880,5401,2036,U
